Index,Histogram,band_1_mean,band_1_std,band_2_mean,band_2_std,band_3_mean,band_3_std
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   1.000,   8.000,  34.125,  11.667,  39.125,  11.667,  33.125,  11.667
   2.000,14925.000,  92.508,   8.849,  95.328,   7.683,  82.067,   7.800
   3.000,  28.000,  41.643,  16.697,  46.821,  16.878,  39.286,  16.357
   4.000,10194.000,  92.263,  13.390,  89.046,  11.955,  81.986,  11.606
   5.000,   7.000,  61.286,   8.729,  50.571,   8.533,  47.571,   8.122
   6.000,  62.000,  54.935,  13.044,  52.774,  12.212,  47.758,  12.795
   7.000,15607.000,  99.178,   9.506,  94.540,   8.221,  87.020,   8.557
   8.000,  31.000,  53.419,  16.392,  49.710,  16.312,  46.806,  15.987
   9.000,18013.000,  75.185,  10.577,  77.067,  10.588,  71.356,   9.979
  10.000,  11.000,  44.455,  16.245,  43.091,  16.172,  38.273,  16.310
  11.000,   3.000,  38.667,   8.179,  41.000,   8.524,  34.333,   8.340
  12.000,   4.000,  31.750,  17.166,  36.750,  17.166,  29.750,  17.166
  13.000,11678.000,  85.664,  10.768,  86.365,  10.128,  76.199,   9.697
  14.000,  33.000,  43.242,  17.157,  40.455,  16.632,  36.970,  16.651
  15.000,   5.000,  40.200,  13.227,  42.200,  13.227,  37.200,  13.227
  16.000,13148.000,  98.586,   9.731,  97.699,   7.647,  86.397,   7.920
  17.000,15660.000,  95.425,  13.363,  88.708,  12.125,  83.015,  11.106
  18.000,  20.000,  47.450,  14.637,  47.450,  14.133,  42.200,  14.549
  19.000,12869.000, 104.841,  15.406, 101.808,  12.356,  90.410,  12.555
  20.000,10949.000,  90.425,  11.441,  88.022,  10.427,  79.933,  10.507
  21.000,12930.000,  90.045,   9.905,  91.011,   8.507,  80.207,   8.574
  22.000,17942.000, 106.655,  11.946,  97.984,   8.681,  91.428,   9.224
  23.000,   2.000,  15.000,   0.000,  10.000,   0.000,   4.000,   0.000
  24.000,   2.000,  29.000,   1.000,  32.000,   1.000,  25.000,   1.000
  25.000,  11.000,  35.636,  12.984,  42.909,  13.083,  28.273,  13.025
  26.000,14125.000,  76.716,  11.895,  77.149,  12.185,  71.859,  11.659
  27.000,   5.000,  45.400,   7.499,  48.600,   7.710,  38.000,   7.668
  28.000,36565.000, 113.184,  11.012, 101.102,   9.239,  95.039,   9.019
  29.000,27826.000,  92.773,  10.805,  90.068,   9.703,  81.810,   9.310
  30.000,12092.000,  85.964,  10.290,  85.125,   9.851,  78.489,   9.578
  31.000,23577.000,  97.757,  12.716,  85.304,  11.623,  85.718,  10.712
  32.000,14591.000,  90.806,  12.883,  90.140,  11.798,  80.872,  11.010
  33.000,19357.000, 103.869,  10.944,  95.838,   9.349,  89.478,   9.076
  34.000,11195.000,  84.359,   9.342,  88.506,   8.871,  75.991,   8.697
  35.000,13339.000,  90.630,   9.824,  90.915,   8.889,  80.920,   8.411
  36.000,39204.000, 102.628,  10.919,  96.560,   9.521,  89.417,   9.140
  37.000,21923.000,  86.486,  12.556,  82.778,  12.792,  78.470,  10.850
